Title,Subtitle,Description,SectionTitle,SectionDescription,Label,metaTitle,metaDescription
Menu,Discover our premium cannabis menu of degen delights!,"At Green Ghost Degen, we're passionate about providing our customers with the best cannabis products available in Phuket. Our menu is constantly updated with new and exciting strains, as well as a range of CBD and THC products to suit every need and preference—from potent Thai Stick hybrids and relaxing indica edibles to uplifting sativa vapes and premium concentrates. Explore our degen weed selection for top-shelf quality, lab-tested purity, and unbeatable variety, all sourced responsibly in Thailand. Whether you're a seasoned enthusiast or new to cannabis, find your perfect match with our expert-curated options and easy online browsing.",,,Explore our menu,,
Delivery,Enjoy premium cannabis delivery across Thailand to your doorstep!,"Experience the ultimate convenience with Green Ghost Degen's premium weed delivery in Phuket. Whether you're craving top-shelf Thai Stick, organic edibles, or exotic strains like Pineapple Express, our fast and discreet cannabis delivery service brings the best of Thailand's degen weed scene straight to your door. Order online today for same-day delivery across Phuket, with no minimums, secure packaging, and expert recommendations to elevate your session—because quality cannabis shouldn't wait.",To enjoy our weed delivery service in Thailand,"Explore our premium weed selection, featuring high-quality strains curated for the best experience. Whether you're in Phuket or anywhere across Thailand, including Phuket Town, Rawai, Karon, Chalong, Kata and Patong, we offer fast and reliable weed delivery. Find the perfect strain to suit your needs and enjoy discreet, door-to-door service. Our collection includes a variety of Indica, Sativa, and Hybrid options, all carefully sourced from trusted growers. Experience the convenience of getting top-shelf weed delivered directly to your doorstep.",Get delivered,,
Weed,Unlock the wild thrill of top weed vibes and adventures!,"Welcome to the wild world of weed at Green Ghost Degen, where every bud tells a story in Phuket's vibrant cannabis scene! Whether you're a cannabis connoisseur chasing exotic Thai Stick highs or just dipping your toes into the green sea of degen delights, get ready for a ride full of good vibes and giggles. Discover premium strains, edibles, and accessories tailored for ultimate relaxation or adventure—sourced fresh from Thailand's top growers. Dive into our menu for lab-tested quality, expert tips, and fast delivery that keeps the party going strong.","What Is Weed, The Basics","Welcome to Weed 101—where we break down the green stuff that’s been sparking curiosity (and joints) for centuries. So, what is weed, exactly? It’s cannabis, a leafy plant with a knack for chilling you out, hyping you up, or even helping you cash in with crypto. From its psychoactive THC vibes to its mellow CBD glow, this isn’t just your garden-variety herb—it’s a cultural icon with roots deeper than a sativa stalk. Let’s dig into the basics and light up your knowledge!",Learn about weed,,
Strains,Dive into our epic selection of cannabis strains and stories!,"At Green Ghost, we believe that everyone deserves access to high-quality cannabis. That's why we've curated a selection of premium strains that cater to all tastes and preferences. From beginners to seasoned enthusiasts, our strains page is the perfect place to start your cannabis journey. Browse, learn, and discover the perfect strain for you.",All the best cannabis strains,,All the strains,,
Wholesale,Partner for premium cannabis wholesale at unbeatable value!,"Partner with Green Ghost to experience the finest Premium Cannabis Wholesale services in Thailand. Our dedicated team is committed to providing you with top-quality cannabis products, sourced responsibly and tailored to meet your specific needs.",Top Wholesale Cannabis in Phuket,"Discover premium cannabis strains available for wholesale, starting at just 50 THB per gram with a minimum purchase of 100g. Perfect for bulk buyers!",Bulk ordering,,
Payment,Secure and easy payment options for your cannabis orders!,"Pay easily with Scan QR, Crypto, Revolut, or PayPal at Green Ghost Degen—secure, fast options tailored for your weed orders and degen adventures. Enjoy hassle-free transactions with instant QR code scans for quick bank transfers, blockchain-secured crypto payments for ultimate privacy, seamless Revolut integration for global ease, or trusted PayPal for added protection. No hidden fees, encrypted processing, and real-time confirmations ensure your premium cannabis purchases are smooth and stress-free, letting you focus on the vibes.",,,Make a payment,,
About,Nurturing Thailand's Cannabis Culture,"At Green Ghost, we’re dedicated to supporting the Thai cannabis community by offering the best Weed across outdoor, greenhouse, and indoor varieties. Our mission is to help Thailand grow as a leading hub for premium cannabis.",Green Ghost redefines the cannabis coffeeshop experience,"By blending top-notch weed with cutting-edge technology and crypto rewards. Our unique concept integrates expertly crafted Thai-grown, organic products with exclusive discounts and innovative rewards for crypto enthusiasts. At Green Ghost, we’re dedicated to exceptional quality and a distinctive experience that highlights our commitment to excellence. Thanks for choosing us—where top-notch quality meets wallet-friendly prices, with a dash of good vibes!",Cannabis Culture,,
Locations,Find our degen cannabis spots for epic vibes and pickups!,"Discover the heart of Green Ghost Degen's cannabis empire with our prime locations scattered across Thailand's hottest spots. From bustling Phuket hubs offering walk-in wonders of Thai Stick strains and edibles to serene setups in key cities, each spot is a gateway to premium, lab-tested weed in a chill, degen-friendly vibe. Swing by for expert advice, exclusive deals, or quick pickups—perfect for locals and travelers alike. Check our map for hours, directions, and nearby delivery zones to fuel your next adventure without the hassle.",,,Find our locations,,
Cannabis Club,Join Green Ghost Degen community,"Join Green Ghost, Phuket's top Cannabis Social Club. Discover a vibrant community, premium cannabis, exclusive events, and the best weed culture in Thailand.",Exclusive Discounts & Cash Back for Our Cannabis Community,"At Green Ghost, we value our cannabis community by offering special discounts and occasional cash back rewards. Join our club to enjoy exclusive benefits and connect with fellow enthusiasts. Explore tailored deals for Green Ghost, GhostVerse, and Weed.th communities and maximize your cannabis experience.",Join the club,,
Jobs,Join Green Ghost Degen team,"At Green Ghost 🌿👻, we pride ourselves on providing premium cannabis products and exceptional service. As part of our team, you'll play a vital role in creating an inviting and educational experience for our customers while promoting our commitment to quality and compliance.",Budtender,"As a Budtender, you’ll be the face of our shop, guiding customers through our extensive cannabis menu, answering questions, and ensuring they find products that suit their needs. You'll maintain a welcoming environment, handle transactions efficiently, and contribute to the success of the store by delivering outstanding customer service.",We are hiring,,
Best Weed Shops Thailand,The 13 Best Weed Shops in Thailand in 2026,"Welcome to Green Ghost, your ultimate guide to finding the best weed shops in Thailand. Our team has carefully curated a list of top-rated dispensaries and cannabis stores in your area, ensuring that you have access to the highest-quality products and exceptional customer service.",Explore Top-Rated Dispensaries and Cannabis Stores in Your Area,"Browse our selection of local weed shops, read reviews, and find the perfect spot to suit your needs. Whether you're a seasoned cannabis enthusiast or just starting to explore the world of weed, we've got you covered. Start exploring today and experience the best of cannabis with Green Ghost!",,,
Growers,Discover Thailand's Premier Cannabis Growers with Green Ghost!,"Your quest for the finest cannabis cultivators in Thailand ends here, backed by the trusted selection endorsed by Green Ghost. We've scoured the nation to curate a handpicked collection of top-tier cannabis establishments, delivering unparalleled quality and excellence.",,,,,
Seeds,Get your seeds,"Explore our curated selection of premium cannabis seeds from the best seed banks worldwide, perfect for Phuket growers and beyond. Each partner guarantees top germination rates, discreet shipping, and expert growing guides to ensure success for beginners and pros alike. Start your cannabis journey with confidence !",,,,Premium Cannabis Seeds Partners,Shop high-quality cannabis seeds from trusted partners at Green Ghost. Find feminized & autoflower varieties with guaranteed germination. Start growing today with Green Ghost 🌿👻
Nft,Thailand’s Top Cannabis Club Meets NFT Innovation,420 Green Ghost Degen NFT Collection to enjoy exclusive discounts and cash back on your cannabis purchases at the best degen weed shop.,,,Mint your NFT,,
Contact,Get in touch with us,"Get in touch with Green Ghost for all your cannabis inquiries, from premium strains to exclusive club perks. We're here to help with orders, recommendations, and any questions about our top-quality products. Reach out today!",,,Contact us now,,
CBD France,For orders in France only.,,,,,,
Garden,Green Ghost's Garden: A Shared Growing Journey in Phuket,"Hey there, fellow green stoners! Welcome to Green Ghost's Garden, our special spot where we're excited to share our indoor growing adventure with you, right here in sunny Phuket, Thailand. This page is all about bringing you along for the ride, from the moment our little seeds sprout in the grow tent, all the way to those beautiful, sticky buds. Consider this your behind-the-scenes pass to our Green Garden! We'll be posting chronological photos, updates, and maybe even a few tips and tricks we learn along the way from our very own setup in Phuket. It's a journey we're stoked to share, building our community one healthy plant at a time. So, follow us in our growing journey and watch our Green Garden flourish!",,,,Green Ghost's Garden Indoor Cannabis Grow in Thailand,"Join Green Ghost's Garden for a shared indoor cannabis growing journey in Phuket, Thailand! See our plants from seed to harvest. Follow our Green Garden adventure and watch it flourish with our community."
Legal Laws,Cannabis Laws in Thailand: The 2026 Comprehensive Guide,"As of the landmark Ministerial Announcement effective June 26, 2025, Thailand has transitioned to a strict medical-only framework for cannabis. For consumers, patients, and businesses, navigating this ""controlled herb"" status is essential to remain compliant with Thai law.",The Mandatory Prescription System,"The most significant change for 2026 is the end of walk-in recreational sales. All cannabis purchases involving flowering buds now require a valid medical prescription issued by a licensed Thai practitioner. Authorized Prescribers: Only seven professional groups can issue prescriptions, including medical doctors, Thai traditional medicine practitioners, dentists, and pharmacists. The PT 33 Form: All prescriptions must use the official Phor Thor 33 form, which tracks the source of the cannabis, the practitioner's ID, and the specific dosage. Validity: Prescriptions are valid for a maximum of 30 days and cannot be refilled; a new consultation is required for every subsequent purchase.",,,
